"Ticker","Date","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","Regime","Quadrant","RVol","AgeDays","Score","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","RiskBuy1Pct","RiskAvgPct","RewardRiskBuy1","RewardRiskAvg"
"NEST","2026-05-13","419","FULL","590","18","G ACC","G ACC","","G ACC","2026-05-13","","EXPLOSIVE BULL","LEADING","6.86","0","5170","Full Grid (1-2-3-4)","100000000","590","448","414","366","0.1","0.2","0.3","0.4","169","446","724","1092","2431","99892600","107400","410.91","410.94","49.83","27.97","2.99","9.22"
"SRSN","2026-05-13","553","FULL","72","9.090909090909092","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-13","","EXPLOSIVE BULL","LEADING","6.16","0","5070","Full Grid (1-2-3-4)","100000000","72","62","60","56","0.1","0.2","0.3","0.4","1388","3225","5000","7142","16755","99983800","16200","59.67","59.67","29.17","14.54","3","8.68"
"BNBR","2026-05-13","553","FULL","175","12.179487179487179","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-13","","EXPLOSIVE BULL","LAGGING","2.19","0","4970","Full Grid (1-2-3-4)","100000000","175","163","160","155","0.1","0.2","0.3","0.4","571","1226","1875","2580","6252","99966300","33700","159.89","159.9","16.57","8.69","2.1","5.48"
"FIRE","2026-05-13","553","FULL","152","16.030534351145036","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-13","Structure + Discount","SIDEWAYS","LEADING","6.96","0","4770","Full Grid (1-2-3-4)","100000000","152","141","138","135","0.1","0.2","0.3","0.4","657","1418","2173","2962","7210","99954600","45400","138.63","138.63","16.45","8.39","3.04","7.68"
"IRSX","2026-05-13","553","FULL","464","12.62135922330097","SMART SNIPER","SMART SNIPER","Demand Structure","SMART SNIPER","2026-05-13","Demand Structure","SIDEWAYS","LEADING","2.13","0","4770","Full Grid (1-2-3-4)","100000000","464","424","414","400","0.1","0.2","0.3","0.4","215","471","724","1000","2410","99920000","80000","414.61","414.62","19.4","9.79","3.01","7.89"
"VRNA","2026-05-13","553","FULL","83","5.063291139240507","SMART SNIPER","SMART SNIPER + V-SHAPE","Demand Structure","SMART SNIPER + V-SHAPE","2026-05-13","Demand Structure","SIDEWAYS","LEADING","2.44","0","4770","Full Grid (1-2-3-4)","100000000","83","77","76","74","0.1","0.2","0.3","0.4","1204","2597","3947","5405","13153","99984300","15700","76.02","76.02","15.66","7.91","3","7.64"
"KINO","2026-05-13","553","FULL","1155","3.125","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-13","Structure + Discount","SIDEWAYS","LEADING","1.3","0","4750","Full Grid (1-2-3-4)","100000000","1155","1125","1115","1105","0.1","0.2","0.3","0.4","86","177","269","361","893","99729500","270500","1116.79","1116.81","6.49","3.29","3.2","7.56"
"NASA","2026-05-13","553","FULL","39","8.333333333333332","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-13","Structure + Discount","SIDEWAYS","LEADING","1.65","0","4750","Full Grid (1-2-3-4)","100000000","39","38","37","37","0.1","0.2","0.3","0.4","2564","5263","8108","10810","26745","99995600","4400","37.39","37.39","7.69","3.71","3","7.64"
"RMKE","2026-05-13","553","FULL","3300","2.803738317757009","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-13","Structure + Discount","SIDEWAYS","LEADING","1.54","0","4750","Full Grid (1-2-3-4)","100000000","3300","2970","2890","2780","0.1","0.2","0.3","0.4","30","67","103","143","343","99320000","680000","2895.63","2895.75","21.21","10.21","3","8.47"
"MRAT","2026-05-13","553","FULL","440","1.3824884792626728","SMART GAMMA","SMART GAMMA","","SMART GAMMA","2026-05-13","","SIDEWAYS","LEADING","1.29","0","4700","Full Grid (1-2-3-4)","100000000","440","418","412","404","0.1","0.2","0.3","0.4","227","478","728","990","2423","99958000","42000","412.54","412.54","10.91","4.98","3.02","8.4"
