"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"TALF","2026-05-22","2026-05-22","558","FULL","780","24.8","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","EXPLOSIVE BULL","19.18","TRUE","TRUE","TRUE","LEADING","LEADING (V-Shape)","1.86","1.86","EXPANSION","100","0","56.45","32.58","25.48","14","706.39","677.22","552.8","762700","410740","5050","Supertrend bearish | RSI 56.5 > 50 | Volume valid 1.86x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","780","695","675","645","0.1","0.2","0.3","0.4","128","287","444","620","1479","99890500","109500","675.39","675.41","590","1065","1350","1350","24.36","12.64","73.08","99.88","3","7.9"
"DFAM","2026-05-22","2026-05-22","558","FULL","140","28.440366972477065","BETA BREAKOUT","BETA BREAKOUT","breakout","TRUE","","BETA BREAKOUT","2026-05-22","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","EXPLOSIVE BULL","35","TRUE","TRUE","TRUE","LEADING","LEADING (Beta)","6.32","6.32","VOLUME SURGE","92.11","7.89","62.29","30.93","35.27","17.72","113.14","106.99","91.63","361493300","57197105","5020","Supertrend bullish | RSI 62.3 > 50 | Volume valid 6.32x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","140","118","113","105","0.1","0.2","0.3","0.4","714","1694","2654","3809","8871","99969900","30100","112.69","112.69","93","210","282","282","33.57","17.47","101.43","150.24","3.02","8.6"
"BNII","2026-05-22","2026-05-22","558","FULL","194","1.5706806282722512","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","CRASH / SELL-OFF","59.14","TRUE","FALSE","TRUE","LEADING","LEADING (V-Shape)","2.1","2.1","VOLUME SURGE","75","25","36.04","25.14","7.94","25.14","200.73","204.53","207.88","3902600","1854855","4970","Supertrend bearish | RSI 36.0 lemah | Volume valid 2.1x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","194","191","190","189","0.1","0.2","0.3","0.4","515","1047","1578","2116","5256","99963100","36900","190.19","190.19","187","204","224","224","3.61","1.68","15.46","17.78","4.29","10.6"
"GRPM","2026-05-22","2026-05-22","558","FULL","284","6.7669172932330826","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BULLISH","DEMAND STRUCTURE","CRASH / SELL-OFF","44.6","TRUE","FALSE","TRUE","LEADING","LEADING (V-Shape)","2.94","2.94","VOLUME SURGE","91.67","8.33","43.23","12.54","16.76","25.73","302.2","300.49","197.49","6284500","2134110","4970","Supertrend bearish | RSI 43.2 lemah | Volume valid 2.94x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","284","262","256","250","0.1","0.2","0.3","0.4","352","763","1171","1600","3886","99965000","35000","257.24","257.24","234","360","370","370","17.61","9.04","30.28","43.83","1.72","4.85"
"MDKA","2026-05-22","2026-05-22","558","FULL","2720","24.770642201834864","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","0","TRUE","FALSE","TRUE","IMPROVING","IMPROVING (V-Shape)","2.86","2.86","VOLUME SURGE","100","0","43.44","27.52","17.82","28.97","2882.76","3056.48","2774","315769700","110470940","4920","Supertrend bearish | RSI 43.4 lemah | Volume valid 2.86x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","2720","2440","2370","2270","0.1","0.2","0.3","0.4","36","81","126","176","419","99370000","630000","2371.6","2372.33","2100","3650","4580","4580","22.79","11.45","68.38","93.12","3","8.13"
"BRMS","2026-05-22","2026-05-22","558","FULL","630","11.504424778761061","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","CRASH / SELL-OFF","10.43","TRUE","FALSE","TRUE","LAGGING","LAGGARD (V-Shape)","2.48","2.48","VOLUME SURGE","92.86","7.14","34.83","22.95","9.89","34.82","744.08","812.7","812.82","666888600","269384965","4870","Supertrend bearish | RSI 34.8 lemah | Volume valid 2.48x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","630","565","550","530","0.1","0.2","0.3","0.4","158","353","545","754","1810","99835500","164500","551.58","551.61","486","845","1060","1060","22.86","11.89","68.25","92.18","2.99","7.75"
"KOKA","2026-05-22","2026-05-22","558","FULL","119","10.185185185185185","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","CRASH / SELL-OFF","19.06","TRUE","FALSE","TRUE","LAGGING","LAGGARD (V-Shape)","4.76","4.76","VOLUME SURGE","45.45","54.55","25.96","15.07","20.85","26.58","154.4","181.43","202.43","35487800","7453180","4870","Supertrend bearish | RSI 26.0 lemah | Volume valid 4.76x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","119","109","107","103","0.1","0.2","0.3","0.4","840","1834","2803","3883","9360","99973600","26400","106.81","106.81","96","154","208","208","19.33","10.12","74.79","94.74","3.87","9.36"
"CTBN","2026-05-22","2026-05-22","558","FULL","5750","25","SMART SNIPER","SMART SNIPER + V-SHAPE","reversal","TRUE","Structure + Discount","SMART SNIPER + V-SHAPE","2026-05-22","Structure + Discount","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","STRUCTURE + DISCOUNT","SIDEWAYS","19.02","TRUE","FALSE","TRUE","LEADING","LEADING (Sniper)","2.66","2.66","VOLUME SURGE","100","0","54.1","13.87","24.93","30.71","5434.88","5622.33","5556.06","6300","2365","4770","Supertrend bullish | RSI 54.1 > 50 | Volume valid 2.66x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","5750","5150","5025","4820","0.1","0.2","0.3","0.4","17","38","59","82","196","98516500","1483500","5026.35","5027.27","4500","7625","9500","9500","21.74","10.47","65.22","89","3","8.5"
"BESS","2026-05-22","2026-05-22","558","FULL","1070","7.000000000000001","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","SIDEWAYS","75","TRUE","FALSE","TRUE","LEADING","LEADING (V-Shape)","3.06","3.06","VOLUME SURGE","97.56","2.44","41.56","15.03","11.94","24.6","1118.7","1207.48","1261.52","451300","147530","4570","Supertrend bearish | RSI 41.6 lemah | Volume valid 3.06x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","1070","970","945","915","0.1","0.2","0.3","0.4","93","206","317","437","1053","99875000","125000","948.48","948.53","855","1395","1715","1715","20.09","9.86","60.28","80.82","3","8.2"
"BALI","2026-05-22","2026-05-22","558","FULL","1250","2.459016393442623","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","UPTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","93.26","TRUE","FALSE","FALSE","LEADING","LEADING (V-Shape)","1.45","1.45","EXPANSION","100","0","46.05","10.62","15.8","18.51","1262.53","1296.74","1352.63","7300","5035","4550","Supertrend bullish | RSI 46.0 lemah | Volume valid 1.45x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","1250","1215","1205","1195","0.1","0.2","0.3","0.4","80","164","248","334","826","99723000","277000","1207.3","1207.29","1170","1370","1505","1505","6.4","3.09","20.4","24.66","3.19","7.98"
"BSSR","2026-05-22","2026-05-22","558","FULL","3960","2.0618556701030926","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","35.69","TRUE","FALSE","FALSE","LEADING","LEADING (V-Shape)","1.41","1.41","EXPANSION","73.33","26.67","44.48","18.04","17.07","23.34","3988.58","3993.22","3992.8","607700","432300","4550","Supertrend bearish | RSI 44.5 lemah | Volume valid 1.41x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","3960","3880","3850","3830","0.1","0.2","0.3","0.4","25","51","77","104","257","99165000","835000","3858.56","3858.63","3780","4230","4650","4650","4.55","2.04","17.42","20.51","3.83","10.07"
