"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"GRIA","2026-05-25","2026-05-25","559","FULL","156","34.48275862068966","SMART GAMMA","SMART GAMMA","momentum","TRUE","","SMART GAMMA","2026-05-25","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","7.5","7.5","VOLUME SURGE","100","0","82.34","42.39","49.61","8.73","113.56","109.28","108.43","92316300","12313425","5220","Supertrend bullish | RSI 82.3 > 50 | Volume valid 7.5x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","156","123","115","104","0.1","0.2","0.3","0.4","641","1626","2608","3846","8721","99989800","10200","114.65","114.65","88","258","360","360","43.59","23.25","130.77","213.99","3","9.2"
"GULA","2026-05-25","2026-05-25","559","FULL","458","8.018867924528301","SMART GAMMA","SMART GAMMA","momentum","TRUE","","SMART GAMMA","2026-05-25","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","2.27","2.27","VOLUME SURGE","100","0","74.24","25.97","34.24","13.6","398.45","371.45","351.43","78771600","34722765","5220","Supertrend bullish | RSI 74.2 > 50 | Volume valid 2.27x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","458","378","360","332","0.1","0.2","0.3","0.4","218","529","833","1204","2784","99941400","58600","358.98","358.99","294","705","950","950","35.81","18.1","107.42","164.64","3","9.09"
"MPMX","2026-05-25","2026-05-25","559","FULL","1035","4.0201005025125625","SMART GAMMA","SMART GAMMA","momentum","TRUE","","SMART GAMMA","2026-05-25","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","2.23","2.23","VOLUME SURGE","100","0","65.44","19.19","25.33","16.33","1003.2","999.92","987.9","8738800","3922980","5220","Supertrend bullish | RSI 65.4 > 50 | Volume valid 2.23x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","1035","1005","1000","990","0.1","0.2","0.3","0.4","96","199","300","404","999","99931500","68500","1000.32","1000.34","970","1135","1250","1250","6.28","3.03","20.77","24.96","3.31","8.24"
"MBSS","2026-05-25","2026-05-25","559","FULL","2480","15.887850467289718","SMART GAMMA","SMART GAMMA","momentum","TRUE","","SMART GAMMA","2026-05-25","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND","EXPLOSIVE BULL","35.78","TRUE","TRUE","TRUE","LEADING","LEADING (Gamma)","1.67","1.67","EXPANSION","87.8","12.2","61.82","25.54","29.22","18.78","2183.34","2072.25","1825.72","8381800","5027270","5200","Supertrend bullish | RSI 61.8 > 50 | Volume valid 1.67x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","2480","2150","2070","1960","0.1","0.2","0.3","0.4","40","93","144","204","481","99707000","293000","2072.91","2073.16","1780","3530","4580","4580","28.23","14.13","84.68","120.95","3","8.56"
"TALF","2026-05-25","2026-05-25","559","FULL","975","25","BETA BREAKOUT","BETA BREAKOUT","breakout","TRUE","","BETA BREAKOUT","2026-05-25","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","18.98","TRUE","TRUE","TRUE","LEADING","LEADING (Beta)","2.95","2.95","VOLUME SURGE","100","0","66.93","33.75","35.41","12.13","730.81","688.9","557","1149100","389555","5020","Supertrend bullish | RSI 66.9 > 50 | Volume valid 2.95x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","975","795","750","690","0.1","0.2","0.3","0.4","102","251","400","579","1332","99850500","149500","749.63","749.71","590","1555","2130","2130","39.49","21.29","118.46","184.14","3","8.65"
"ASII","2026-05-25","2026-05-25","559","FULL","5600","3.7037037037037033","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-25","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","12.66","TRUE","FALSE","TRUE","WEAKENING","WEAKENING (V-Shape)","2.34","2.34","VOLUME SURGE","91.67","8.33","41.23","13.29","14.66","28.42","5893.41","6079.88","6030","92115700","39406025","4870","Supertrend bearish | RSI 41.2 lemah | Volume valid 2.34x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","5600","5450","5425","5375","0.1","0.2","0.3","0.4","17","36","55","74","182","98752500","1247500","5425.96","5426.74","5250","6125","6750","6750","6.25","3.24","20.54","24.4","3.29","7.52"
"CENT","2026-05-25","2026-05-25","559","FULL","82","7.894736842105263","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-25","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","0","TRUE","FALSE","TRUE","LAGGING","LAGGARD (V-Shape)","2.53","2.53","VOLUME SURGE","33.33","66.67","35.29","20.81","17.84","23.97","93.71","102.8","113.33","18729500","7417045","4870","Supertrend bearish | RSI 35.3 lemah | Volume valid 2.53x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","82","77","75","73","0.1","0.2","0.3","0.4","1219","2597","4000","5479","13295","99989400","10600","75.21","75.21","69","109","112","112","15.85","8.25","36.59","48.92","2.31","5.93"
"DMMX","2026-05-25","2026-05-25","559","FULL","178","1.7142857142857144","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-25","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","CRASH / SELL-OFF","13.25","TRUE","FALSE","TRUE","LAGGING","LAGGARD (V-Shape)","8.85","8.85","VOLUME SURGE","21.05","78.95","24.6","14.93","19.94","20.67","205.43","224.95","290.82","3984800","450235","4870","Supertrend bearish | RSI 24.6 lemah | Volume valid 8.85x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","178","174","173","172","0.1","0.2","0.3","0.4","561","1149","1734","2325","5769","99966600","33400","173.28","173.28","167","204","212","212","6.18","3.63","19.1","22.34","3.09","6.16"
"POLI","2026-05-25","2026-05-25","559","FULL","905","11.728395061728394","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-25","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","26.25","TRUE","FALSE","TRUE","LAGGING","LAGGARD (V-Shape)","2.75","2.75","VOLUME SURGE","58.54","41.46","38.25","28.28","32.42","26.28","1045.52","1091.79","984.6","100000","36410","4870","Supertrend bearish | RSI 38.3 lemah | Volume valid 2.75x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","905","835","820","795","0.1","0.2","0.3","0.4","110","239","365","503","1217","99830000","170000","820.3","820.33","740","1155","1400","1400","18.23","9.79","54.7","70.67","3","7.22"
"CARS","2026-05-25","2026-05-25","559","FULL","94","13.253012048192772","SMART SNIPER","SMART SNIPER","reversal","TRUE","Structure + Discount","SMART SNIPER","2026-05-25","Structure + Discount","NEW","0","UPTREND","BULLISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","3.94","TRUE","FALSE","TRUE","LEADING","LEADING (Sniper)","2.5","2.5","VOLUME SURGE","81.82","18.18","52.3","17.71","23.21","26.48","91.72","95.7","104.88","28762100","11514775","4770","Supertrend bullish | RSI 52.3 > 50 | Volume valid 2.5x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","94","85","82","79","0.1","0.2","0.3","0.4","1063","2352","3658","5063","12136","99977500","22500","82.38","82.38","74","124","154","154","21.28","10.17","63.83","86.94","3","8.55"
"LAJU","2026-05-25","2026-05-25","559","FULL","77","28.333333333333332","SMART SNIPER","SMART SNIPER","reversal","TRUE","Structure + Discount","SMART SNIPER","2026-05-25","Structure + Discount","NEW","0","UPTREND","BULLISH","BEARISH","BULLISH","STRUCTURE + DISCOUNT","SIDEWAYS","9.2","TRUE","FALSE","TRUE","LEADING","LEADING (Sniper)","5.39","5.39","VOLUME SURGE","85","15","50.25","22.99","28.52","26.78","75.6","79.16","74.71","171759900","31850700","4770","Supertrend bullish | RSI 50.3 > 50 | Volume valid 5.39x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","77","66","63","59","0.1","0.2","0.3","0.4","1298","3030","4761","6779","15868","99983000","17000","63.01","63.01","53","113","149","149","31.17","15.89","93.51","136.47","3","8.59"
