"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"DNET","2026-05-26","2026-05-26","560","FULL","9900","1.5384615384615385","SMART GAMMA","SMART GAMMA","momentum","TRUE","","SMART GAMMA","2026-05-26","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","3.05","3.05","VOLUME SURGE","88","12","74.36","21.86","19.2","8.76","9472.75","9318.79","9109.68","27800","9110","5220","Supertrend bullish | RSI 74.4 > 50 | Volume valid 3.05x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","9900","9075","8875","8600","0.1","0.2","0.3","0.4","10","22","33","46","111","98712500","1287500","8893.02","8892.52","8200","12450","15000","15000","17.17","7.79","51.52","68.67","3","8.81"
"GULA","2026-05-26","2026-05-26","560","FULL","500","9.170305676855897","G ACC","G ACC","momentum","TRUE","","G ACC","2026-05-26","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","2.76","2.76","VOLUME SURGE","89.8","10.2","80.17","28.17","42.58","11.76","407.68","376.49","352.91","109138500","39548720","5170","Supertrend bullish | RSI 80.2 > 50 | Volume valid 2.76x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","500","400","376","342","0.1","0.2","0.3","0.4","200","500","797","1169","2666","99947000","53000","374.89","374.89","292","810","1125","1125","41.6","22.11","125","200.08","3","9.05"
"MPMX","2026-05-26","2026-05-26","560","FULL","1090","5.314009661835748","G ACC","G ACC","momentum","TRUE","","G ACC","2026-05-26","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","6.48","6.48","VOLUME SURGE","88.24","11.76","77.21","21.75","40.03","11.63","1011.1","1003.45","988.91","36022300","5561670","5170","Supertrend bullish | RSI 77.2 > 50 | Volume valid 6.48x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","1090","1035","1020","1000","0.1","0.2","0.3","0.4","91","193","294","400","978","99882500","117500","1021.29","1021.35","970","1270","1450","1450","11.01","5.02","33.03","41.98","3","8.36"
"NZIA","2026-05-26","2026-05-26","560","FULL","137","18.103448275862068","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-26","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","EXPLOSIVE BULL","19.95","TRUE","TRUE","TRUE","IMPROVING","IMPROVING (V-Shape)","3.44","3.44","VOLUME SURGE","51.28","48.72","43.23","10.74","32.03","23.65","151.96","170.35","149.09","108048300","31388370","5020","Supertrend bearish | RSI 43.2 lemah | Volume valid 3.44x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","137","124","121","117","0.1","0.2","0.3","0.4","729","1612","2479","3418","8238","99962600","37400","121.34","121.34","107","182","228","228","21.9","11.82","66.42","87.9","3.03","7.44"
"BEER","2026-05-26","2026-05-26","560","FULL","87","6.097560975609756","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-26","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","CRASH / SELL-OFF","21.39","TRUE","FALSE","TRUE","LAGGING","LAGGARD (V-Shape)","5.6","5.6","VOLUME SURGE","31.25","68.75","28.48","21.17","21.25","22.81","111.35","130.35","146.15","26521100","4732480","4870","Supertrend bearish | RSI 28.5 lemah | Volume valid 5.6x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","87","85","84","83","0.1","0.2","0.3","0.4","1149","2352","3571","4819","11891","99982400","17600","84.08","84.08","79","99","101","101","9.2","6.04","16.09","20.12","1.75","3.33"
"AWAN","2026-05-26","2026-05-26","560","FULL","160","12.676056338028168","SMART SNIPER","SMART SNIPER","reversal","TRUE","Structure + Discount","SMART SNIPER","2026-05-26","Structure + Discount","NEW","0","UPTREND","BULLISH","BULLISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","10.16","TRUE","FALSE","TRUE","LEADING","LEADING (Sniper)","2.64","2.64","VOLUME SURGE","100","0","60.17","16.59","21.62","19.94","147.94","154.94","200.23","2685000","1017135","4770","Supertrend bullish | RSI 60.2 > 50 | Volume valid 2.64x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","160","140","135","128","0.1","0.2","0.3","0.4","625","1428","2222","3125","7400","99989000","11000","135.12","135.12","117","224","290","290","26.88","13.41","81.25","114.62","3.02","8.55"
"PTIS","2026-05-26","2026-05-26","560","FULL","314","12.142857142857142","SMART SNIPER","SMART SNIPER + V-SHAPE","reversal","TRUE","Structure + Discount","SMART SNIPER + V-SHAPE","2026-05-26","Structure + Discount","NEW","0","UPTREND","BULLISH","BULLISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","78.92","TRUE","FALSE","TRUE","LEADING","LEADING (Sniper)","2.42","2.42","VOLUME SURGE","100","0","57.17","18.34","19.03","19.88","301.46","304.62","327.87","130400","53980","4770","Supertrend bullish | RSI 57.2 > 50 | Volume valid 2.42x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","314","294","288","280","0.1","0.2","0.3","0.4","318","680","1041","1428","3467","99942000","58000","288.27","288.27","268","384","452","452","14.65","7.03","43.95","56.8","3","8.08"
"INTA","2026-05-26","2026-05-26","560","FULL","75","5.633802816901409","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-26","","NEW","0","DOWNTREND","BULLISH","BEARISH","BULLISH","STRUCTURE + DISCOUNT","SIDEWAYS","44.68","TRUE","FALSE","TRUE","LEADING","LEADING (V-Shape)","5.46","5.46","VOLUME SURGE","100","0","49.08","19.08","17.6","35.66","74.84","80.12","72.18","4868600","891980","4570","Supertrend bearish | RSI 49.1 lemah | Volume valid 5.46x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","75","67","65","62","0.1","0.2","0.3","0.4","1333","2985","4615","6451","15384","99990700","9300","65","65","58","101","126","126","22.67","10.76","68","93.86","3","8.72"
"RGAS","2026-05-26","2026-05-26","560","FULL","100","3.0927835051546393","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-26","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","SIDEWAYS","35","TRUE","FALSE","TRUE","LEADING","LEADING (V-Shape)","3.19","3.19","VOLUME SURGE","100","0","57.4","30.27","21.98","13.02","95.33","93.76","98.56","42483000","13310605","4570","Supertrend bullish | RSI 57.4 > 50 | Volume valid 3.19x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","100","93","91","89","0.1","0.2","0.3","0.4","1000","2150","3296","4494","10940","99985200","14800","91.39","91.39","85","123","145","145","15","7","45","58.65","3","8.38"
"BELI","2026-05-26","2026-05-26","560","FULL","340","2.4096385542168677","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-26","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","NORMAL DOWNTREND","38.12","TRUE","FALSE","FALSE","LEADING","LEADING (V-Shape)","1.41","1.41","EXPANSION","87.5","12.5","29.73","16.35","17.59","21.55","358.25","384.73","413.62","1235600","875185","4550","Supertrend bearish | RSI 29.7 lemah | Volume valid 1.41x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","340","334","332","328","0.1","0.2","0.3","0.4","294","598","903","1219","3014","99932000","68000","331.56","331.56","324","376","378","378","4.71","2.28","11.18","14.01","2.38","6.14"
"INDR","2026-05-26","2026-05-26","560","FULL","2250","2.272727272727273","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-26","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","20.84","TRUE","FALSE","FALSE","LEADING","LEADING (V-Shape)","1.66","1.66","EXPANSION","70","30","39.33","26.38","13.43","23.16","2415.45","2617.52","2781.5","153900","92960","4550","Supertrend bearish | RSI 39.3 lemah | Volume valid 1.66x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","2250","2130","2100","2060","0.1","0.2","0.3","0.4","44","93","142","194","473","99493000","507000","2103.45","2103.61","1975","2660","3080","3080","12.22","6.11","36.89","46.43","3.02","7.6"
