"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"HATM","2026-05-29","2026-05-29","561","FULL","336","15.862068965517242","SMART SNIPER","SMART SNIPER","reversal","TRUE","Demand Structure","SMART SNIPER","2026-05-29","Demand Structure","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Sniper)","2.51","2.51","VOLUME SURGE","92.31","7.69","64.69","23.64","31.44","20.53","303.14","310.79","312.15","50655900","20153120","5270","Supertrend bullish | RSI 64.7 > 50 | Volume valid 2.51x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","336","300","292","280","0.1","0.2","0.3","0.4","297","666","1027","1428","3418","99931600","68400","292.37","292.38","260","450","565","565","22.62","11.07","68.15","93.25","3.01","8.42"
"KJEN","2026-05-29","2026-05-29","561","FULL","212","34.177215189873415","SMART GAMMA","SMART GAMMA","momentum","TRUE","","SMART GAMMA","2026-05-29","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","3.59","3.59","VOLUME SURGE","100","0","71.13","39","40","7.34","155.74","148.43","160.39","128951000","35880555","5220","Supertrend bullish | RSI 71.1 > 50 | Volume valid 3.59x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","212","158","145","127","0.1","0.2","0.3","0.4","471","1265","2068","3149","6953","99950500","49500","143.75","143.76","100","380","550","550","52.83","30.44","159.43","282.6","3.02","9.29"
"PPGL","2026-05-29","2026-05-29","561","FULL","250","6.837606837606838","SMART GAMMA","SMART GAMMA","momentum","TRUE","","SMART GAMMA","2026-05-29","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","9.15","9.15","VOLUME SURGE","75","25","62.6","17.07","33.13","14.61","214.47","214","183.34","46321000","5063925","5220","Supertrend bullish | RSI 62.6 > 50 | Volume valid 9.15x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","250","214","206","193","0.1","0.2","0.3","0.4","400","934","1456","2072","4862","99970800","29200","205.62","205.62","174","364","478","478","30.4","15.38","91.2","132.47","3","8.62"
"DNET","2026-05-29","2026-05-29","561","FULL","10950","10.606060606060606","G ACC","G ACC","momentum","TRUE","","G ACC","2026-05-29","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","4.79","4.79","VOLUME SURGE","98.28","1.72","87.77","25.34","34.86","6","9607.05","9382.76","9127.99","53800","11235","5170","Supertrend bullish | RSI 87.8 > 50 | Volume valid 4.79x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","10950","9600","9275","8825","0.1","0.2","0.3","0.4","9","20","32","45","106","98447500","1552500","9287.5","9290.52","8175","15125","19275","19275","25.34","11.98","76.03","107.54","3","8.98"
"MPMX","2026-05-29","2026-05-29","561","FULL","1135","4.128440366972478","G ACC","G ACC","momentum","TRUE","","G ACC","2026-05-29","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Gamma)","5.27","5.27","VOLUME SURGE","77.78","22.22","82.47","24.89","47","9.69","1022.36","1008.61","990.37","38363400","7278885","5170","Supertrend bullish | RSI 82.5 > 50 | Volume valid 5.27x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","1135","1055","1035","1010","0.1","0.2","0.3","0.4","88","189","289","396","962","99835000","165000","1037.79","1037.8","970","1385","1630","1630","14.54","6.53","43.61","57.07","3","8.74"
"AGAR","2026-05-29","2026-05-29","561","FULL","238","9.174311926605505","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-29","","NEW","0","DOWNTREND","BULLISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","35.84","TRUE","FALSE","TRUE","LEADING","LEADING (V-Shape)","4.03","4.03","VOLUME SURGE","60","40","50.26","38.38","28.02","11.07","236.79","239.45","244.43","1184100","293740","4970","Supertrend bearish | RSI 50.3 > 50 | Volume valid 4.03x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","238","220","216","210","0.1","0.2","0.3","0.4","420","909","1388","1904","4621","99958800","41200","216.31","216.31","196","302","364","364","17.65","9.39","52.94","68.27","3","7.27"
"ARTO","2026-05-29","2026-05-29","561","FULL","1180","3.056768558951965","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-29","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","37.53","TRUE","FALSE","TRUE","LEADING","LEADING (V-Shape)","1.52","1.52","EXPANSION","100","0","41.27","15.06","18.68","27.28","1218.07","1333.67","1702.27","9262000","6102275","4950","Supertrend bearish | RSI 41.3 lemah | Volume valid 1.52x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","1180","1130","1120","1100","0.1","0.2","0.3","0.4","84","176","267","363","890","99634000","366000","1119.48","1119.53","1070","1475","1530","1530","9.32","4.42","29.66","36.67","3.18","8.3"
"AUTO","2026-05-29","2026-05-29","561","FULL","2530","1.2","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-29","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","35","TRUE","FALSE","TRUE","LAGGING","LAGGARD (V-Shape)","2.69","2.69","VOLUME SURGE","100","0","41.3","23.16","12.68","24.77","2588.39","2622.36","2538.94","7566500","2816320","4870","Supertrend bearish | RSI 41.3 lemah | Volume valid 2.69x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","2530","2500","2490","2470","0.1","0.2","0.3","0.4","39","80","120","161","400","99514000","486000","2487.85","2487.87","2440","2670","2940","2940","3.56","1.92","16.21","18.17","4.56","9.45"
"MSKY","2026-05-29","2026-05-29","561","FULL","63","6.779661016949152","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-29","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","17.2","TRUE","FALSE","TRUE","LAGGING","LAGGARD (V-Shape)","2.67","2.67","VOLUME SURGE","33.33","66.67","32.06","23.78","22.43","26.43","73.79","79.01","80.14","40775800","15285910","4870","Supertrend bearish | RSI 32.1 lemah | Volume valid 2.67x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","63","59","57","56","0.1","0.2","0.3","0.4","1587","3389","5263","7142","17381","99987500","12500","57.53","57.53","53","78","93","93","15.87","7.87","47.62","61.66","3","7.84"
"BINA","2026-05-29","2026-05-29","561","FULL","4390","10.85858585858586","SMART SNIPER","SMART SNIPER","reversal","TRUE","Demand Structure","SMART SNIPER","2026-05-29","Demand Structure","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","SIDEWAYS","14.43","TRUE","FALSE","TRUE","LEADING","LEADING (Sniper)","4.36","4.36","VOLUME SURGE","100","0","64.93","24.98","35.07","10.73","4087.73","4209.84","4375.53","1328800","304880","4770","Supertrend bullish | RSI 64.9 > 50 | Volume valid 4.36x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","4390","4160","4110","4030","0.1","0.2","0.3","0.4","22","48","72","99","241","99115000","885000","4112.66","4113.46","3910","5100","5825","5825","10.93","4.93","32.69","41.64","2.99","8.45"
"MAPA","2026-05-29","2026-05-29","561","FULL","640","5.785123966942149","SMART SNIPER","SMART SNIPER","reversal","TRUE","Demand Structure","SMART SNIPER","2026-05-29","Demand Structure","NEW","0","UPTREND","BULLISH","BULLISH","BEARISH","DEMAND STRUCTURE","SIDEWAYS","35.04","TRUE","FALSE","TRUE","LEADING","LEADING (Sniper)","3.28","3.28","VOLUME SURGE","66.67","33.33","53.85","12.93","29.15","17.93","620.16","634.64","670.25","84674800","25813570","4770","Supertrend bullish | RSI 53.9 > 50 | Volume valid 3.28x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","640","605","595","585","0.1","0.2","0.3","0.4","156","330","504","683","1673","99892500","107500","597.09","597.09","565","755","865","865","11.72","5.37","35.16","44.87","3","8.35"
