"Ticker","Date","Price","ChangePct","Signal","Regime","Quadrant","RVol","AgeDays","Score","RiskPct","RewardRisk"
"BRPT","2026-05-05","2300","24.661246612466126","SMART SNIPER","EXPLOSIVE BULL","LEADING","2.18","0","5270","22.39","3.01"
"NIKL","2026-05-05","364","24.65753424657534","SMART SNIPER","EXPLOSIVE BULL","LEADING","11.76","0","5270","26.37","2.98"
"KONI","2026-05-05","2980","24.686192468619247","SMART GAMMA","EXPLOSIVE BULL","LEADING","2.81","0","5220","38.93","2.99"
"RBMS","2026-05-05","77","10","SMART GAMMA","EXPLOSIVE BULL","LEADING","3.38","0","5220","48.05","3"
"ABDA","2026-05-05","3810","24.91803278688525","G ACC","EXPLOSIVE BULL","LEADING","5.24","0","5170","39.37","2.99"
"NEST","2026-05-05","535","24.418604651162788","G ACC","EXPLOSIVE BULL","LEADING","7.72","0","5170","44.3","3"
"LPIN","2026-05-05","486","2.100840336134454","G ACC","EXPLOSIVE BULL","LEADING","4.22","0","5170","11.11","3.04"
"DIGI","2026-05-05","41","7.894736842105263","G ACC","EXPLOSIVE BULL","LEADING","2.93","0","5170","34.15","3"
"AGII","2026-05-05","3180","11.188811188811188","V-SHAPE","EXPLOSIVE BULL","LEADING","2.44","0","5070","14.78","3"
"ENZO","2026-05-05","97","34.72222222222222","BETA BREAKOUT","EXPLOSIVE BULL","LEADING","5.42","0","5020","46.39","3"
"CENT","2026-05-05","110","10","SMART SNIPER","SIDEWAYS","LEADING","2.28","0","4770","11.82","3"
"IOTF","2026-05-05","67","6.349206349206349","SMART SNIPER","SIDEWAYS","LEADING","5","0","4770","10.45","2.71"
"HMSP","2026-05-05","770","3.3557046979865772","SMART SNIPER","SIDEWAYS","LEADING","1.44","0","4750","9.09","3"
"BOLA","2026-05-05","171","0.5882352941176471","SMART SNIPER","SIDEWAYS","WEAKENING","1.48","0","4650","3.51","4.5"
"TIFA","2026-05-05","358","5.9171597633136095","V-SHAPE","SIDEWAYS","LEADING","13.3","0","4570","8.94","3"
"PIPA","2026-05-05","161","20.149253731343283","V-SHAPE","SIDEWAYS","LEADING","12.3","0","4570","19.88","3.03"
"PTRO","2026-05-05","5900","16.25615763546798","V-SHAPE","NORMAL UPTREND","LEADING","1.35","0","4550","20.34","3"
"GEMA","2026-05-05","89","1.1363636363636365","V-SHAPE","NORMAL DOWNTREND","WEAKENING","1.58","0","4450","5.62","1.8"
"CLEO","2026-05-05","398","1.015228426395939","EARLY SWEEP","SIDEWAYS","LEADING","0.38","0","4100","2.96","5"
"SMRA","2026-05-05","316","1.935483870967742","EARLY SWEEP","NORMAL DOWNTREND","LEADING","0.39","0","4100","6.93","3.07"
"UDNG","2026-05-05","1105","9.950248756218906","EARLY SWEEP","SIDEWAYS","LEADING","1.22","0","4100","20.79","2.99"
"INDO","2026-05-05","156","0","EARLY SWEEP","SIDEWAYS","IMPROVING","1.92","0","4050","34","3"
"JARR","2026-05-05","2190","2.336448598130841","EARLY SWEEP","SIDEWAYS","LAGGING","0.31","0","4000","23.71","7.91"
"RATU","2026-05-05","6350","6.722689075630252","EARLY SWEEP","SIDEWAYS","WEAKENING","0.53","0","4000","40.78","3"
"GTSI","2026-05-05","230","4.545454545454546","EARLY SWEEP","SIDEWAYS","LAGGING","0.29","0","4000","21.56","1.62"
"BABP","2026-05-05","52","1.9607843137254901","EARLY SWEEP","SIDEWAYS","LAGGING","0.46","0","4000","8.77","3"
"KLIN","2026-05-05","149","1.3605442176870748","EARLY SWEEP","NORMAL DOWNTREND","LAGGING","0.36","0","4000","23.81","3"
"MINA","2026-05-05","380","-0.5235602094240838","HOLD","EXPLOSIVE BULL","LEADING","2.18","1","1618","43.46","3"
"HERO","2026-05-05","505","-14.40677966101695","HOLD","EXPLOSIVE BULL","LEADING","10.88","1","1618","36.95","3"
"LTLS","2026-05-05","830","-1.1904761904761905","HOLD","EXPLOSIVE BULL","LEADING","4.4","1","1618","10.71","3"
"BCIP","2026-05-05","85","-4.49438202247191","HOLD","EXPLOSIVE BULL","LEADING","9.88","1","1618","26.97","3"
"SMMA","2026-05-05","16000","3.059581320450886","HOLD","EXPLOSIVE BULL","LEADING","5.32","5","1610","12.98","3"
"TOOL","2026-05-05","97","12.790697674418606","HOLD","EXPLOSIVE BULL","LEADING","2.82","6","1608","43.62","3.02"
"CTTH","2026-05-05","174","20","HOLD","EXPLOSIVE BULL","LEADING","3.37","11","1598","59.63","3.01"
"PNGO","2026-05-05","3900","0.7751937984496124","HOLD","EXPLOSIVE BULL","LEADING","7.06","22","1576","12.61","3"
"GSMF","2026-05-05","128","9.401709401709402","HOLD","EXPLOSIVE BULL","LEADING","3.48","28","1564","46.53","3.01"
"YPAS","2026-05-05","1290","-14.85148514851485","HOLD","EXPLOSIVE BULL","LAGGING","5.96","1","1518","29.37","3"
"BOBA","2026-05-05","306","24.390243902439025","AVOID","EXPLOSIVE BULL","LAGGING","3.59","8","1504","40.84","3.02"
"FAPA","2026-05-05","7025","0","HOLD","EXPLOSIVE BULL","LAGGING","3.24","11","1498","13.17","3"
"FITT","2026-05-05","440","6.796116504854369","AVOID","CRASH / SELL-OFF","LEADING","3.4","21","1478","54.31","3"
"MARK","2026-05-05","820","3.1446540880503147","AVOID","EXPLOSIVE BULL","LEADING","2.2","106","1408","31.03","3"
"OMRE","2026-05-05","855","0","HOLD","EXPLOSIVE BULL","WEAKENING","2.74","95","1330","40.87","3"
"CNKO","2026-05-05","52","-8.771929824561402","AVOID","CRASH / SELL-OFF","LAGGING","6.01","49","1322","17.91","3"
"FWCT","2026-05-05","102","-15","HOLD","CRASH / SELL-OFF","LEADING","4.41","105","1310","27.5","3.03"
"TRJA","2026-05-05","131","0","HOLD","CRASH / SELL-OFF","WEAKENING","3.73","71","1278","21.34","3.03"
"BNLI","2026-05-05","3400","17.647058823529413","UNSAFE DIP","CRASH / SELL-OFF","LEADING","3.23","137","1246","16.76","2.98"
"HELI","2026-05-05","196","0.5128205128205128","AVOID","CRASH / SELL-OFF","LAGGING","2.36","96","1228","5.04","1.83"
"PBSA","2026-05-05","960","-4","AVOID","CRASH / SELL-OFF","LAGGING","2.37","117","1186","59.95","3.01"
"MGNA","2026-05-05","165","-7.82122905027933","AVOID","CRASH / SELL-OFF","LAGGING","4.32","132","1156","88.79","3.01"
"SAFE","2026-05-05","334","3.0864197530864197","AVOID","CRASH / SELL-OFF","LAGGING","2.17","139","1142","63.41","2.99"
"OBAT","2026-05-05","308","-3.1446540880503147","AVOID","CRASH / SELL-OFF","LAGGING","2.55","147","1126","22.93","1.54"
"NETV","2026-05-05","95","-10.377358490566039","HOLD","SIDEWAYS","LEADING","2.23","1","1118","18.87","3"
"INDS","2026-05-05","448","-14.666666666666666","HOLD","SIDEWAYS","LEADING","3.96","1","1118","37.14","9.77"
"BOLT","2026-05-05","980","6.521739130434782","UNSAFE DIP","NORMAL DOWNTREND","LEADING","5.7","1","1118","3.38","4.71"
"AMAG","2026-05-05","444","0","HOLD","SIDEWAYS","LEADING","4.21","1","1118","5.86","2.54"
"IBOS","2026-05-05","122","9.90990990990991","HOLD","SIDEWAYS","LEADING","3.23","1","1118","17.12","3"
"ISEA","2026-05-05","92","2.2222222222222223","HOLD","SIDEWAYS","LEADING","3.53","1","1118","17.78","3"
"PEVE","2026-05-05","382","-2.051282051282051","AVOID","CRASH / SELL-OFF","LAGGING","4.87","155","1110","3.37","13.82"
"ULTJ","2026-05-05","1700","6.583072100313479","HOLD","NORMAL UPTREND","LEADING","2.13","6","1108","14.16","3.02"
"DIVA","2026-05-05","174","9.433962264150944","HOLD","SIDEWAYS","LEADING","4.41","8","1104","37.2","3.02"
"ADMR","2026-05-05","1880","-1.5706806282722512","AVOID","SIDEWAYS","LEADING","0.6","1","1098","7.59","3.03"
"AMRT","2026-05-05","1440","1.0526315789473684","AVOID","SIDEWAYS","LEADING","1.15","1","1098","9.47","3"
"PGEO","2026-05-05","1020","-0.9708737864077669","AVOID","SIDEWAYS","LEADING","0.96","1","1098","5.34","3.55"
"CMRY","2026-05-05","4700","5.1454138702460845","AVOID","NORMAL UPTREND","LEADING","1.02","1","1098","3.37","4.71"
"JPFA","2026-05-05","2590","-1.520912547528517","HOLD","SIDEWAYS","LEADING","0.8","1","1098","11.79","3"
"SHIP","2026-05-05","3900","-9.30232558139535","HOLD","SIDEWAYS","LEADING","1.8","1","1098","21.63","3.01"
"BALI","2026-05-05","1275","0","HOLD","SIDEWAYS","LEADING","0.18","1","1098","32.9","3"
"GGRP","2026-05-05","302","0.6666666666666667","AVOID","SIDEWAYS","LEADING","1.03","1","1098","7.33","1.91"
"SMDM","2026-05-05","635","0.7936507936507936","HOLD","NORMAL UPTREND","LEADING","0.4","1","1098","21.9","3.01"
"IRSX","2026-05-05","438","-0.45454545454545453","AVOID","SIDEWAYS","LEADING","0.9","1","1098","15","3.03"
"GMTD","2026-05-05","1680","-5.88235294117647","AVOID","SIDEWAYS","LEADING","1.55","1","1098","20.47","3.01"
"IPCM","2026-05-05","330","1.8518518518518516","HOLD","NORMAL UPTREND","LEADING","1.05","1","1098","1.85","4"
"PADI","2026-05-05","126","2.4390243902439024","AVOID","NORMAL UPTREND","LEADING","1.44","1","1098","17.89","3"
"ARII","2026-05-05","300","2.73972602739726","HOLD","SIDEWAYS","LEADING","0.94","1","1098","12.33","3"
"URBN","2026-05-05","228","-9.523809523809524","HOLD","NORMAL UPTREND","LEADING","1.53","1","1098","46.83","2.99"
"UVCR","2026-05-05","222","-1.7699115044247788","HOLD","NORMAL UPTREND","LEADING","1.93","1","1098","58.41","2.98"
"CRSN","2026-05-05","117","-3.3057851239669422","HOLD","SIDEWAYS","LEADING","1.06","1","1098","19.83","3"
