"Ticker","Date","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","Regime","Quadrant","RVol","AgeDays","Score","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","RiskBuy1Pct","RiskAvgPct","RewardRiskBuy1","RewardRiskAvg"
"DPUM","2026-05-07","549","FULL","162","35","SMART SNIPER","SMART SNIPER","Demand Structure","SMART SNIPER","2026-05-07","Demand Structure","EXPLOSIVE BULL","LEADING","7.29","0","5270","Full Grid (1-2-3-4)","100000000","162","137","130","122","0.1","0.2","0.3","0.4","617","1459","2307","3278","7661","99966300","33700","130.49","130.49","33.33","17.23","2.52","7.45"
"MDLA","2026-05-07","253","FULL","240","9.090909090909092","SMART SNIPER","SMART SNIPER","Demand Structure","SMART SNIPER","2026-05-07","Demand Structure","EXPLOSIVE BULL","LEADING","5.72","0","5270","Full Grid (1-2-3-4)","100000000","240","224","218","214","0.1","0.2","0.3","0.4","416","892","1376","1869","4553","99958200","41800","219.54","219.55","15","7.08","3","8.26"
"SOSS","2026-05-07","549","FULL","920","8.875739644970414","SMART SNIPER","SMART SNIPER + V-SHAPE","Structure + Discount","SMART SNIPER + V-SHAPE","2026-05-07","Structure + Discount","EXPLOSIVE BULL","LEADING","3.25","0","5270","Full Grid (1-2-3-4)","100000000","920","855","835","815","0.1","0.2","0.3","0.4","108","233","359","490","1190","99769000","231000","838.39","838.44","15.76","7.56","1.79","5.39"
"ASPR","2026-05-07","202","IPO / SHORT","535","18.36283185840708","G ACC","G ACC","","G ACC","2026-05-07","","EXPLOSIVE BULL","LEADING","2.89","0","5170","Full Grid (1-2-3-4)","100000000","535","358","316","256","0.1","0.2","0.3","0.4","186","558","949","1562","3255","99903000","97000","306.92","306.99","67.48","43.31","3.01","9.88"
"DEPO","2026-05-07","549","FULL","320","25","G ACC","G ACC","","G ACC","2026-05-07","","EXPLOSIVE BULL","LEADING","2.25","0","5170","Full Grid (1-2-3-4)","100000000","320","262","248","228","0.1","0.2","0.3","0.4","312","763","1209","1754","4038","99949000","51000","247.52","247.53","38.44","20.41","3.01","8.76"
"ESIP","2026-05-07","549","FULL","220","34.146341463414636","G ACC","G ACC","","G ACC","2026-05-07","","EXPLOSIVE BULL","LEADING","3.12","0","5170","Full Grid (1-2-3-4)","100000000","220","154","138","115","0.1","0.2","0.3","0.4","454","1298","2173","3478","7403","99961600","38400","135.03","135.04","62.73","39.27","3.01","9.43"
"NATO","2026-05-07","549","FULL","775","25","BETA BREAKOUT","BETA BREAKOUT","","BETA BREAKOUT","2026-05-07","","EXPLOSIVE BULL","LEADING","7.79","0","5020","Full Grid (1-2-3-4)","100000000","775","675","650","615","0.1","0.2","0.3","0.4","129","296","461","650","1536","99917500","82500","650.5","650.5","27.74","13.91","3","8.5"
"RSGK","2026-05-07","549","FULL","1265","8.11965811965812","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-07","","EXPLOSIVE BULL","LAGGING","2.61","0","4970","Full Grid (1-2-3-4)","100000000","1265","1110","1070","1015","0.1","0.2","0.3","0.4","79","180","280","394","933","99924500","75500","1071","1071.01","25.69","12.23","3","8.92"
"DEWI","2026-05-07","549","FULL","135","3.8461538461538463","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-07","Structure + Discount","SIDEWAYS","LEADING","2.67","0","4770","Full Grid (1-2-3-4)","100000000","135","128","126","124","0.1","0.2","0.3","0.4","740","1562","2380","3225","7907","99961600","38400","126.42","126.42","11.11","5.08","3","8.34"
"KLAS","2026-05-07","549","FULL","97","21.25","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-07","Structure + Discount","SIDEWAYS","LEADING","14.92","0","4770","Full Grid (1-2-3-4)","100000000","97","87","85","81","0.1","0.2","0.3","0.4","1030","2298","3529","4938","11795","99977900","22100","84.76","84.76","21.65","10.34","3","8.59"
"MORA","2026-05-07","549","FULL","6250","19.617224880382775","SMART SNIPER","SMART SNIPER","Discount Only","SMART SNIPER","2026-05-07","Discount Only","SIDEWAYS","LEADING","3.55","0","4770","Full Grid (1-2-3-4)","100000000","6250","5375","5175","4870","0.1","0.2","0.3","0.4","16","37","57","82","192","99319000","681000","5172.86","5172.88","29.92","15.33","4.41","11.76"
"MRAT","2026-05-07","549","FULL","440","2.803738317757009","SMART SNIPER","SMART SNIPER","Demand Structure","SMART SNIPER","2026-05-07","Demand Structure","SIDEWAYS","LEADING","2.46","0","4770","Full Grid (1-2-3-4)","100000000","440","418","412","404","0.1","0.2","0.3","0.4","227","478","728","990","2423","99958000","42000","412.54","412.54","11.36","5.46","3","7.87"
"CBDK","2026-05-07","309","FULL","4950","4.430379746835443","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-07","Structure + Discount","SIDEWAYS","LEADING","1.81","0","4750","Full Grid (1-2-3-4)","100000000","4950","4730","4670","4600","0.1","0.2","0.3","0.4","20","42","64","86","212","99214000","786000","4679.91","4679.86","9.9","4.7","3.01","7.94"
"CLEO","2026-05-07","549","FULL","412","3","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-07","Structure + Discount","SIDEWAYS","LEADING","1.75","0","4750","Full Grid (1-2-3-4)","100000000","412","404","402","400","0.1","0.2","0.3","0.4","242","495","746","1000","2483","99957600","42400","402.57","402.57","4.37","2.13","4","9.5"
"SCCO","2026-05-07","549","FULL","2460","1.2345679012345678","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-07","Structure + Discount","NORMAL UPTREND","LEADING","1.74","0","4750","Full Grid (1-2-3-4)","100000000","2460","2330","2300","2260","0.1","0.2","0.3","0.4","40","85","130","176","431","99321000","679000","2304.43","2304.61","10.98","4.97","3","8.44"
"EXCL","2026-05-07","549","FULL","3230","3.858520900321544","SMART GAMMA","SMART GAMMA","","SMART GAMMA","2026-05-07","","SIDEWAYS","LEADING","1.82","0","4700","Full Grid (1-2-3-4)","100000000","3230","3080","3040","2990","0.1","0.2","0.3","0.4","30","64","98","133","325","98961000","1039000","3044.95","3045.45","10.53","5.09","3","7.78"
"ALKA","2026-05-07","549","FULL","730","24.786324786324787","BETA BREAKOUT","BETA BREAKOUT + V-SHAPE","","BETA BREAKOUT + V-SHAPE","2026-05-07","","SIDEWAYS","LEADING","5.21","0","4570","Full Grid (1-2-3-4)","100000000","730","650","630","600","0.1","0.2","0.3","0.4","136","307","476","666","1585","99831000","169000","629.85","629.91","24.66","12.68","3","8.02"
"BBYB","2026-05-07","549","FULL","322","7.333333333333333","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-07","","SIDEWAYS","LEADING","2.02","0","4570","Full Grid (1-2-3-4)","100000000","322","310","306","302","0.1","0.2","0.3","0.4","310","645","980","1324","3259","99949800","50200","306.69","306.69","9.32","4.79","3","7.17"
"LRNA","2026-05-07","549","FULL","206","3.5175879396984926","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-07","","SIDEWAYS","LEADING","11.59","0","4570","Full Grid (1-2-3-4)","100000000","206","200","199","197","0.1","0.2","0.3","0.4","485","1000","1507","2030","5022","99971300","28700","199.07","199.07","6.8","3.55","3.14","7.21"
"GTBO","2026-05-07","549","FULL","220","6.796116504854369","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-07","","SIDEWAYS","LAGGING","8.1","0","4470","Full Grid (1-2-3-4)","100000000","220","212","208","206","0.1","0.2","0.3","0.4","454","943","1442","1941","4780","99957800","42200","209.12","209.12","10","5.32","3","6.92"
"LIFE","2026-05-07","549","FULL","7400","3.4965034965034967","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-07","","SIDEWAYS","LAGGING","11.19","0","4470","Full Grid (1-2-3-4)","100000000","7400","7250","7200","7150","0.1","0.2","0.3","0.4","13","27","41","55","136","98040000","1960000","7208.82","7209.26","5.07","2.55","3.67","8.52"
"MAPA","2026-05-07","549","FULL","625","2.459016393442623","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-07","","SIDEWAYS","LAGGING","2.85","0","4470","Full Grid (1-2-3-4)","100000000","625","615","610","605","0.1","0.2","0.3","0.4","160","325","491","661","1637","99929000","71000","610.44","610.44","4.8","2.53","2.17","5.15"
"NIRO","2026-05-07","549","FULL","210","8.808290155440414","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-07","","SIDEWAYS","WEAKENING","3.18","0","4470","Full Grid (1-2-3-4)","100000000","210","194","190","185","0.1","0.2","0.3","0.4","476","1030","1578","2162","5246","99957000","43000","190.54","190.54","17.62","9.21","3.03","7.5"
"MGNA","2026-05-07","549","FULL","170","3.0303030303030303","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-07","","NORMAL DOWNTREND","LAGGING","1.4","0","4450","Full Grid (1-2-3-4)","100000000","170","166","164","163","0.1","0.2","0.3","0.4","588","1204","1829","2453","6074","99961900","38100","164.57","164.57","6.47","3.39","2.55","6"
"SMBR","2026-05-07","549","FULL","202","1.507537688442211","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-07","","NORMAL DOWNTREND","LAGGING","1.53","0","4450","Full Grid (1-2-3-4)","100000000","202","200","200","199","0.1","0.2","0.3","0.4","495","1000","1500","2010","5005","99998000","2000","199.8","199.8","2.97","1.9","5.33","9.01"
"BALI","2026-05-07","549","FULL","1280","0","EARLY SWEEP","EARLY SWEEP","","EARLY SWEEP","2026-05-07","","SIDEWAYS","LAGGING","0.36","0","4000","Full Grid (1-2-3-4)","100000000","1535","1300","1240","1160","0.1","0.2","0.3","0.4","65","153","241","344","803","99655500","344500","1241.04","1241.07","32.9","17.01","3","8.57"
"PCAR","2026-05-07","549","FULL","37","2.7777777777777777","EARLY SWEEP","EARLY SWEEP","","EARLY SWEEP","2026-05-07","","SIDEWAYS","LAGGING","0.98","0","4000","Full Grid (1-2-3-4)","100000000","46","41","40","38","0.1","0.2","0.3","0.4","2173","4878","7500","10526","25077","99994400","5600","39.87","39.88","21.74","9.72","3","9.32"
"PWON","2026-05-07","549","FULL","324","1.25","EARLY SWEEP","EARLY SWEEP","","EARLY SWEEP","2026-05-07","","NORMAL DOWNTREND","LAGGING","1.23","0","4000","Full Grid (1-2-3-4)","100000000","352","348","348","346","0.1","0.2","0.3","0.4","284","574","862","1156","2876","99967200","32800","347.59","347.59","2.84","1.61","2.8","5.8"
"UNTD","2026-05-07","525","FULL","89","7.228915662650602","EARLY SWEEP","EARLY SWEEP","","EARLY SWEEP","2026-05-07","","NORMAL DOWNTREND","LAGGING","1.18","0","4000","Full Grid (1-2-3-4)","100000000","123","99","93","84","0.1","0.2","0.3","0.4","813","2020","3225","4761","10819","99982800","17200","92.41","92.41","41.46","22.09","3","8.99"
